Num,Community Area,2010,2000,Difference,Percentage
1,Rogers Park,54991,63484,-8493,-13.40%
2,West Ridge,71942,73199,-1257,-1.70%
3,Uptown,56362,63551,-7189,-11.30%
4,Lincoln Square,39493,44574,-5081,-11.40%
5,North Center,31867,31895,-28,-0.10%
6,Lake View,94368,94817,-449,-0.50%
7,Lincoln Park,64116,64320,-204,-0.30%
8,Near North Side,80484,72811,7673,10.50%
9,Edison Park,11187,11259,-72,-0.60%
10,Norwood Park,37023,37669,-646,-1.70%
11,Jefferson Park,25448,25859,-411,-1.60%
12,Forest Glen,18508,18165,343,1.90%
13,North Park,17931,18514,-583,-3.10%
14,Albany Park,51542,57655,-6113,-10.60%
15,Portage Park,64124,65340,-1216,-1.90%
16,Irving Park,53359,58643,-5284,-9.00%
17,Dunning,41932,42164,-232,-0.60%
18,Montclare,13426,12646,780,6.20%
19,Belmont Cragin,78743,78144,599,0.80%
20,Hermosa,25010,26908,-1898,-7.10%
21,Avondale,39262,43083,-3821,-8.90%
22,Logan Square,73595,82715,-9120,-11.00%
23,Humboldt Park,56323,65836,-9513,-14.40%
24,West Town,81432,87435,-6003,-6.90%
25,Austin,98514,117527,-19013,-16.20%
26,West Garfield Park,18001,23019,-5018,-21.80%
27,East Garfield Park,20567,20881,-314,-1.50%
28,Near West Side,54881,46419,8462,18.20%
29,North Lawndale,35912,41768,-5856,-14.00%
30,South Lawndale,79288,91071,-11783,-12.90%
31,Lower West Side,35769,44031,-8262,-18.80%
32,Loop,29283,16388,12895,78.70%
33,Near South Side,21390,9509,11881,124.90%
34,Armour Square,13391,12032,1359,11.30%
35,Douglas,18238,26470,-8232,-31.10%
36,Oakland,5918,6110,-192,-3.10%
37,Fuller Park,2876,3420,-544,-15.90%
38,Grand Boulevard,21929,28006,-6077,-21.70%
39,Kenwood,17841,18363,-522,-2.80%
40,Washington Park,11717,14146,-2429,-17.20%
41,Hyde Park,25681,29920,-4239,-14.20%
42,Woodlawn,25983,27086,-1103,-4.10%
43,South Shore,49767,61556,-11789,-19.20%
44,Chatham,31028,37275,-6247,-16.80%
45,Avalon Park,10185,11147,-962,-8.60%
46,South Chicago,31198,38596,-7398,-19.20%
47,Burnside,2916,3294,-378,-11.50%
48,Calumet Heights,13812,15974,-2162,-13.50%
49,Roseland,44619,52723,-8104,-15.40%
50,Pullman,7325,8921,-1596,-17.90%
51,South Deering,15109,16990,-1881,-11.10%
52,East Side,23042,23653,-611,-2.60%
53,West Pullman,29651,36649,-6998,-19.10%
54,Riverdale,6482,9809,-3327,-33.90%
55,Hegewisch,9426,9781,-355,-3.60%
56,Garfield Ridge,34513,36101,-1588,-4.40%
57,Archer Heights,13393,12644,749,5.90%
58,Brighton Park,45368,44912,456,1.00%
59,McKinley Park,15612,15962,-350,-2.20%
60,Bridgeport,31977,33694,-1717,-5.10%
61,New City,44377,51721,-7344,-14.20%
62,West Elsdon,18109,15921,2188,13.70%
63,Gage Park,39894,39193,701,1.80%
64,Clearing,23139,22331,808,3.60%
65,West Lawn,33355,29235,4120,14.10%
66,Chicago Lawn,55628,61412,-5784,-9.40%
67,West Englewood,35505,45282,-9777,-21.60%
68,Englewood,30654,40222,-9568,-23.80%
69,Greater Grand Crossing,32602,38619,-6017,-15.60%
70,Ashburn,41081,39584,1497,3.80%
71,Auburn Gresham,48743,55928,-7185,-12.80%
72,Beverly,20034,21992,-1958,-8.90%
73,Washington Heights,26493,29843,-3350,-11.20%
74,Mount Greenwood,19093,18820,273,1.50%
75,Morgan Park,22544,25226,-2682,-10.60%
76,O'Hare,12756,11956,800,6.70%
77,Edgewater,56521,62198,-5677,-9.10%
